2018 SOC Code,Description
51-20XX,Truss maker
51-20XX,Tube mounter
51-20XX,Tube pusher
51-20XX,Umbrella frame maker
51-20XX,Upfitter
51-20XX,Veneer layer
51-20XX,Venetian blind maker
51-20XX,Vinyl top installer
51-20XX,Visor installer
51-20XX,Weaver\ ns
51-20XX,Webber
51-20XX,Wheel truer
51-20XX,Wicker worker
51-20XX,Wig maker
51-20XX,Window caser
51-20XX,Window framer
51-20XX,Window installer
51-20XX,Window maker
51-20XX,Wire frame maker
51-20XX,Wire mesh filter fabricator
51-20XX,Wood calker
51-20XX,Wood repatcher
51-20XX,Wooden box maker
51-20XX,Woodworker
51-3011,Apprentice baker
51-3011,Apprentice pastry cook
51-3011,Bagel maker
51-3011,Baker
51-3011,Bread baker
51-3011,Cake froster
51-3011,Cake icer
51-3011,Cake maker
51-3011,Cake mixer
51-3011,Confectioner
51-3011,Cook industrial
51-3011,Cook\ ns
51-3011,Decorator\ ns
51-3011,Dough maker
51-3011,French pastry cook
51-3011,Head baker
51-3011,Head cook\ ns
51-3011,Oven dumper
51-3011,Pan dumper
51-3011,Pan puller
51-3011,Panner
51-3011,Pastry baker
51-3011,Pastry chef
51-3011,Pastry cook
51-3011,Pastry decorator
51-3011,Pastry finisher
51-3011,Pie baker
51-3011,Pie maker\ ns
51-3011,Roll machine operator
51-3011,Roll panner
51-3011,Sponge maker baked goods
51-3011,Sponge setter
51-3011,Sponger
51-3020,All around butcher
51-3020,Animal eviscerator
51-3020,Animal killer
51-3020,Animal skinner
51-3020,Animal stunner
51-3020,Apprentice butcher
51-3020,Apprentice meat cutter
51-3020,Assistant butcher
51-3020,Bacon de rinder
51-3020,Bacon skinner
51-3020,Bacon slicer
51-3020,Beef boner
51-3020,Beef breaker
51-3020,Beef killer
51-3020,Beef skinner
51-3020,Beef splitter
51-3020,Bitter
51-3020,Bladder blower
51-3020,Bladder cleaner
51-3020,Bladder tier
51-3020,Blockman
51-3020,Blowing weasand
51-3020,Boner meat
51-3020,Boner\ ns
51-3020,Boston cutter
51-3020,Brainer
51-3020,Breast puller
51-3020,Breast splitter
51-3020,Brisket puller
51-3020,Bruise trimmer
51-3020,Bung dropper
51-3020,Butcher
51-3020,Calf skinner
51-3020,Carcass splitter
51-3020,Carver meat
51-3020,Cattle killer
51-3020,Cattle knocker
51-3020,Caul dresser
51-3020,Caul puller
51-3020,Chicken boner
51-3020,Chicken dresser
51-3020,Chuck splitter
51-3020,Cleaver
51-3020,Clod puller
51-3020,Cold storage worker
51-3020,Crab backer
51-3020,Crab butcher
51-3020,Crop puller
51-3020,Crotch breaker
51-3020,Cutter off
51-3020,Cutter\ ns
51-3020,Deboner
51-3020,Draw off worker
51-3020,Eviscerator
51-3020,Fatter
51-3020,Fell cutter
51-3020,Filleter
51-3020,Fish butcher
51-3020,Fish cleaner
51-3020,Fish cutter
51-3020,Fish cutting machine operator
51-3020,Fish filleter
51-3020,Fish flipper
51-3020,Fish header
51-3020,Frozen meat cutter
51-3020,Gamb cutter
51-3020,Gambreler
51-3020,Gizzard peeler
51-3020,Gizzard puller
51-3020,Gullet slitter
51-3020,Gut cleaner
51-3020,Gut dropper
51-3020,Gut puller
51-3020,Gut snatcher
51-3020,Gutter
51-3023,Halal meat packer
51-3020,Ham boner
51-3020,Ham facer
51-3020,Ham sawyer
51-3020,Ham stripper
51-3020,Ham trimmer
51-3020,Head holder
51-3020,Head trimmer
51-3020,Header
51-3020,Hide dropper
51-3020,Hide trimmer
51-3020,Hog cutter
51-3020,Hog dropper
51-3020,Hog killer
51-3020,Hog scalder
51-3020,Hog sticker
51-3020,Jaw skinner
51-3020,Jawbone puller
51-3020,Kidney puller
51-3020,Kidney trimmer
51-3020,Killer
51-3020,Knifeman
51-3021,Kosher butcher
51-3020,Leg breaker
51-3020,Loin puller
51-3020,Lung gun operator
51-3020,Lung puller
51-3020,Manager meat department
51-3020,Meat boner
51-3020,Meat carver
51-3020,Meat counter worker
51-3020,Meat cutter
51-3020,Meat dresser
51-3020,Meat loiner
51-3020,Meat packager
51-3020,Meat packer
51-3020,Meat slicer
51-3020,Meat specialist
51-3020,Meat trimmer
51-3020,Meatman
51-3020,Neck skewer
51-3020,Offal separator
51-3020,Offal worker exc poultry
51-3020,Oyster opener
51-3020,Oyster shucker
51-3020,Paunch trimmer
51-3020,Pelt dropper
51-3020,Pig sticker
51-3020,Pluck separator
51-3020,Pluck trimmer
51-3020,Poleman
51-3020,Poultry boner
51-3020,Poultry cutter
51-3020,Poultry dresser
51-3020,Poultry eviscerator
51-3020,Poultry killer
51-3023,Poultry slaughterer
51-3020,Poultryman
51-3020,Retrimmer
51-3020,Rib chopper
51-3020,Rib puller
51-3020,Rib sawyer
51-3020,Rip sawyer
51-3020,Round boner
51-3020,Rumper
51-3020,Sausage cutter
51-3020,Sausage maker
51-3020,Sausage meat trimmer
51-3020,Saw operator
51-3020,Sawyer
51-3020,Scriber
51-3020,Shackler
51-3020,Shactor
51-3020,Shank carrier
51-3020,Shank pinner
51-3020,Shank skinner
51-3020,Sheep killer
51-3020,Shochet
51-3020,Shrimp cleaner
51-3020,Shrimp header
51-3020,Shrimp peeler
51-3020,Shrimp picker
51-3020,Sider
51-3020,Skewer up
51-3020,Skirt trimmer
51-3020,Skull chopper
51-3020,Skull splitter
51-3020,Slaughterer
51-3020,Slicer
51-3020,Slitter hand
51-3020,Small order cutter
51-3020,Snout puller
51-3020,Soup person
51-3020,Squilgeer
51-3020,Sticker animal
51-3020,Supervisor meat
51-3020,Sweetbread trimmer
51-3020,Tail puller
51-3020,Tail ripper
51-3020,Tail sawyer
51-3020,Tank house operator
51-3020,Throat cutter
51-3020,Toe puller
51-3020,Tongue trimmer
51-3020,Tonguer
51-3020,Trimmer\ ns
51-3020,Tripe finisher
51-3020,Tripe scraper
51-3020,Turkey boner
51-3020,Turkey roll maker
51-3020,Weasand trimmer
51-3091,Bakery worker
51-3091,Bone char kiln operator
51-3091,Bun panner
51-3091,Buttermilk drier operator
51-3091,Chocolate temperer
51-3091,Cocoa roaster
51-3091,Coffee roaster
51-3091,Corn popper
51-3091,Curing room worker
51-3091,Dehydrator operator
51-3091,Drier
51-3091,Drier operator
51-3091,Drum drier
51-3091,Enrober
51-3091,Extra hand
51-3091,Fish salter
51-3091,Fish smoker
51-3091,Flaker operator
51-3091,Fruit dryer
51-3091,Furnace operator
51-3091,Grain roaster
51-3091,Grain wafer machine operator
51-3091,Granulator operator
51-3091,Gunner
51-3091,Ham curer
51-3091,Ham smoker
51-3091,Icing machine operator
51-3091,Instanizer operator
51-3091,Linter drier operator
51-3091,Malt house kiln operator
51-3091,Malt roaster
51-3091,Meat curer
51-3091,Meat smoker
51-3091,Meringuer
51-3091,Milk drier
51-3091,Milk drying machine operator
51-3091,Nut roaster
51-3091,Oven operator
51-3091,Oven tender
51-3091,Oven worker
51-3091,Peanut roaster
51-3091,Peelman
51-3091,Pie maker machine
51-3091,Pizza maker
51-3091,Pretzel cooker
51-3091,Redrying machine operator
51-3091,Rice drier
51-3091,Rice drier operator
51-3091,Roaster
51-3091,Sausage smoker
51-3091,Smokehouse worker
51-3091,Smoker
51-3091,Sugar drier
51-3091,Tobacco drier operator
51-3091,Wafer machine operator
51-3092,Almond paste mixer
51-3092,Batch blender
51-3092,Batch maker
51-3092,Batch mixer
51-3092,Batter mixer
51-3092,Biscuit maker
51-3092,Blender
51-3092,Blending machine operator
51-3092,Blending plant operator
51-3092,Blow up operator
51-3092,Bologna maker
51-3092,Bran mixer
51-3092,Bread molder
51-3092,Breading machine tender
51-3092,Brine maker
51-3092,Brine mixer operator
51-3092,Bulk plant operator
51-3092,Cake decorator
51-3092,Cake maker
51-3092,Candy decorator
51-3092,Candy dipper
51-3092,Candy forming machine operator
51-3092,Candy maker
51-3092,Candy polisher
51-3092,Candy puller
51-3092,Caramel maker
51-3092,Cereal maker
51-3092,Cheese maker
51-3092,Cheese processor
51-3092,Chicken stuffer
51-3092,Chili maker
51-3092,Chocolate temperer
51-3092,Chopping machine operator
51-3092,Churn operator
51-3092,Churner
51-3092,Cistern room operator
51-3092,Cocoa powder mixer operator
51-3092,Coffee blender
51-3092,Colorist dyer
51-3092,Compound mixer
51-3092,Compounder\ ns
51-3092,Compounder\ ns
51-3092,Conche operator
51-3092,Confectioner
51-3092,Core sucker
51-3092,Cottage cheese maker
51-3092,Cream beater
51-3092,Cruller maker
51-3092,Crystal sirup maker
51-3092,Custom feed corn operator
51-3092,Decorator\ ns
51-3092,Dipper and baker
51-3092,Dough brake machine operator
51-3092,Dough braker
51-3092,Dough catcher
51-3092,Dough cutter
51-3092,Dough cutting machine operator
51-3092,Dough machine operator
51-3092,Dough mixer
51-3092,Dough mixing machine operator
51-3092,Dough molder
51-3092,Dough panner
51-3092,Dough puncher
51-3092,Dough raiser
51-3092,Dough scaler
51-3092,Doughnut glazier
51-3092,Dry starch operator
51-3092,Flavor extractor
51-3092,Flour blender
51-3092,Flour mixer
51-3092,Food processor
51-3092,Formula mixer
51-3092,Frozen yogurt maker
51-3092,Grated cheese maker
51-3092,Head mixer
51-3092,Honey blender
51-3092,Ice cream machine operator
51-3092,Ice cream maker
51-3092,Ice cream mixer
51-3092,Icing mixer
51-3092,Jelly maker
51-3092,Juice mixer
51-3092,Juicer
51-3092,Kettle tender
51-3092,Kiss machine operator
51-3092,Kneader
51-3092,Lard mixer
51-3092,Liquid sugar fortifier
51-3092,Liquid sugar melter
51-3092,Macaroni maker
51-3092,Marshmallow machine operator
51-3092,Marshmallow maker
51-3092,Marshmallow runner
51-3092,Marzipan maker
51-3092,Mash grinder
51-3092,Mayonnaise mixer
51-3092,Melangeur operator
51-3092,Mineral mixer
51-3092,Mingle operator
51-3092,Mixer and blender
51-3092,Mixer operator
51-3092,Mixer tender
51-3092,Mixer\ ns
51-3092,Mixing machine operator
51-3092,Mixing tank operator
51-3092,Noodle maker
51-3092,Noodle press operator
51-3092,Oleomargarine maker
51-3092,Pasta maker
51-3092,Pasta press operator
51-3092,Peanut butter maker
51-3092,Pickle solution maker
51-3092,Pickler
51-3092,Pickling solution maker
51-3092,Pie filler
51-3092,Popcorn machine operator
51-3092,Refined syrup operator
51-3092,Relish maker
51-3092,Sandwich maker
51-3092,Sausage grinder
51-3092,Sausage machine operator
51-3092,Sausage mixer
51-3092,Seasoning mixer
51-3092,Soup mixer
51-3092,Spice blender
51-3092,Spice mixer
51-3092,Spinner
51-3092,Sugar mixer
51-3092,Syrup maker
51-3092,Syrup mixer
51-3092,Taffy puller
51-3092,Tortilla maker
51-3092,Vinegar maker
51-3092,Wet mixer
51-3092,Whipped topping finisher
51-3092,Wine blender
51-3093,Boiler
51-3093,Chip frier
51-3093,Coconut boiler
51-3093,Confectionery cooker
51-3093,Cook box filler
51-3093,Cook industrial
51-3093,Cook Mexican food
51-3093,Cook\ ns
51-3093,Cooker meal
51-3093,Cooker operator
51-3093,Corn cooker
51-3093,Doughnut fryer
51-3093,Doughnut machine operator
51-3093,Doughnut maker
51-3093,Draw machine operator
51-3093,Dumpling machine operator
51-3093,Food cooking machine operator
51-3093,Frier
51-3093,Gum cook
51-3093,Gum machine operator
51-3093,Gum maker
51-3093,Meal cook
51-3093,Meal temperer
51-3093,Nut steamer
51-3093,Pickle maker
51-3093,Pierogi maker
51-3093,Potato chip fryer
51-3093,Potato chip maker
51-3093,Retort operator
51-3093,Sausage cooker
51-3093,Scalder
51-3093,Steam box hand
51-3093,Steam box tender
51-3093,Steam conditioning operator
51-3093,Steam oven operator
51-3093,Steam tender
51-3093,Steamer
51-3093,Tripe cooker
51-3093,Vat skimmer
51-3093,Vegetable cook
51-3093,Wine pasteurizer
51-3099,Abalone processor
51-3099,Bacon stringer
51-3099,Bean snapper
51-3099,Bean snipper
51-3099,Bean viner
51-3099,Beef pusher
51-3099,Beet flumer
51-3099,Beet topper
51-3099,Beet worker
51-3099,Blender conveyor operator
51-3099,Blintze roller
51-3099,Bone char puller
51-3099,Bone picker
51-3099,Bone process operator
51-3099,Bone puller
51-3099,Bone tender
51-3099,Bone worker
51-3099,Boner\ ns
51-3099,Bread dumper
51-3099,Bread panner
51-3099,Bread racker
51-3099,Bread stacker
51-3099,Bulk sugar handler
51-3099,Bun machine operator
51-3099,Butter printer
51-3099,Cake stripper
51-3099,Cake wrapper
51-3099,Candy cutter hand
51-3099,Candy spreader
51-3099,Carcass washer
51-3099,Casing flusher
51-3099,Cattle sorter
51-3099,Cellar worker
51-3099,Char dust cleaner and salvager
51-3099,Charhouse worker
51-3099,Cherry cutter
51-3099,Chicken catcher
51-3099,Chicken cleaner
51-3099,Chicken hanger
51-3099,Chicken picker
51-3099,Chocolate maker
51-3099,Cigar binder
51-3099,Cigar head piercer
51-3099,Cigar patcher
51-3099,Cigarette tipper
51-3099,Clam picker
51-3099,Clam shucker
51-3099,Clam sorter
51-3099,Colorer citrus fruit
51-3099,Cottage cheese maker
51-3099,Crab picker
51-3099,Crackling press operator
51-3099,Cream dumper
51-3099,Creamery worker
51-3099,Curer\ ns
51-3099,Egg breaker
51-3099,Fish bin tender
51-3099,Fish chopper gang knife
51-3099,Fish drier
51-3099,Flavor room worker
51-3099,Forker
51-3099,Fruit cutter
51-3099,Fruit dumper
51-3099,Fruit pitter
51-3099,Fruit room hand
51-3099,Fruit trimmer
51-3099,Fruit worker
51-3099,Gum puller
51-3099,Ham marker
51-3099,Ham passer
51-3099,Hide curer
51-3099,Hide salter
51-3099,Hide spreader
51-3099,Hide washer
51-3099,Hog counter
51-3099,Hog driver
51-3099,Hog pusher
51-3099,Hog scraper
51-3099,Hoister
51-3099,Holder
51-3099,Honeycomb decapper
51-3099,Hoof trimmer
51-3099,Hooker on
51-3099,Hooker up
51-3099,Knocker
51-3099,Knockout machine operator
51-3099,Kosher sealer
51-3099,Laborer cheesemaking
51-3099,Laborer cook house
51-3099,Laborer syrup machine
51-3099,Lard renderer
51-3099,Linseed oil press tender
51-3099,Machine attendant
51-3099,Machine captain
51-3099,Machine hand
51-3099,Machine operator\ ns
51-3099,Machine printer
51-3099,Mash filter cloth changer
51-3099,Meat carrier
51-3099,Meat hanger
51-3099,Meat lugger
51-3099,Meat passer
51-3099,Meat puller
51-3099,Meat pumper
51-3099,Meat salter hand
51-3099,Meat soaker
51-3099,Meat stringer
51-3099,Meat washer
51-3099,Mold unloader
51-3099,Novelty worker
51-3099,Nut cracker
51-3099,Nut feeder
51-3099,Odd jobs\ ns
51-3099,Oil expeller operator
51-3099,Oil extractor
51-3099,Olive pitter
51-3099,Pan greaser
51-3099,Peanut salter
51-3099,Pig handler
51-3099,Pigs feet finisher
51-3099,Poultry cleaner
51-3099,Poultry hanger
51-3099,Poultry picker
51-3099,Poultry picking machine tender
51-3099,Poultry pinner
51-3099,Pretzel twister
51-3099,Processor\ ns
51-3099,Rack boy
51-3099,Racker\ ns
51-3099,Raw cheese worker
51-3099,Renderer
51-3099,Rendering equipment tender
51-3099,Sausage tier
51-3099,Screen tender
51-3099,Seasoner
51-3099,Section hand
51-3099,Shrimp peeling machine operator
51-3099,Skull grinder
51-3099,Slacker
51-3099,Slunk skin curer
51-3099,Smoked meat preparer
51-3099,Specialty person
51-3099,Spice fumigator
51-3099,Spreader
51-3099,Strainer
51-3099,Sugar controller
51-3099,Sugar refiner
51-3099,Tamale maker
51-3099,Tobacco shaker
51-3099,Trimmer\ ns
51-3099,Tripe washer
51-3099,Turkey picker
51-3099,Turkey pinner
51-3099,Vegetable cutter
51-3099,Vegetable preparer
51-3099,Wort extractor
51-3099,Yeast maker
51-3099,Yeast tender
51-9160,Antenna machine operator
51-9160,Armored machine operator
51-9160,CNC operator (computer numeric control operator)
51-9160,Code machine operator
51-9160,Coder operator
51-9160,Coding machine operator
51-9161,Computer Numerically Controlled (CNC) Machinist
51-9160,Computer Numerically Controlled (CNC) Milling Machine Operator
51-9162,Computer Numerically Controlled (CNC) Programmer
51-9161,Computer Numerically Controlled (CNC) Shot Peening Operator
51-9160,Concentrator operator
51-9160,Jig boring machine operator
51-9160,Kingsbury machine operator
51-9160,N C programmer
51-9160,Numerical control drill press operator
51-9160,Numerical control machine operator
51-9160,Numerical control milling machine operator
51-9160,Numerical control programmer
51-9160,Numerical tool programmer
51-9160,Process control programmer
51-9160,Programmer numerical control
51-9160,Programmer process control
51-9160,Programmer tool
51-9160,Robot operator
51-9160,Router setup operator
51-9160,Shot peening operator
51-9160,Spinner operator
51-9160,Spiral machine operator
51-9160,Tool programmer
51-9160,Welding robot operator
51-9160,Wire twisting machine operator
51-9160,Wire wrapper machine operator
51-4020,Air table operator
51-4020,Anvil seating press operator
51-4020,Bar roller
51-4020,Barrel roller operator
51-4020,Bed operator
51-4020,Board hammer operator
51-4020,Bolt machine operator
51-4020,Brass roller
51-4020,Buckshot swage operator
51-4020,Bulldogger
51-4020,Bulldozer operator
51-4020,Bulldozer press operator
51-4020,Cage maker exc machine
51-4020,Charging manipulator
51-4020,Coiler operator
51-4020,Cold header
51-4020,Cold header operator
51-4020,Cold mill operator
51-4020,Cold reduction roller
51-4020,Cold roll catcher
51-4020,Cold roll operator
51-4020,Cold roller
51-4020,Cold strip feeder
51-4020,Cold strip roller
51-4020,Core extruder
51-4020,Core shaper
51-4020,Delivery table operator
51-4020,Die forger
51-4020,Die holder
51-4020,Die machine operator
51-4020,Die setter
51-4020,Draw machine operator
51-4020,Drawbench operator
51-4020,Drop forge hand
51-4020,Drop forge operator
51-4020,Drop forger
51-4020,Drop hammer operator
51-4020,Drop hammer set up operator
51-4020,Dropper
51-4020,Drum straightener
51-4020,Embossing tool setter
51-4020,Entry table operator
51-4020,Expander
51-4020,Expander machine operator
51-4020,Extruder operator
51-4020,Extruding machine operator/setter/tender
51-4020,Extruding press adjuster
51-4020,Extruding press operator
51-4020,Extrusion press adjuster
